PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Selma	Aurora	from George Jander	W22 KA13-14 (B)	Agroscope	NA	37.6	silt
Selma	Aurora	from George Jander	W22 CE83-84 (A)	Agroscope	NA	38.8	silt
Selma	Aurora	from George Jander	W22 CE83-84 (B)	Agroscope	NA	40.2	silt
Selma	Aurora	from George Jander	BX1 KA12 (A)	Agroscope	NA	38.6	silt
Selma	Aurora	from George Jander	BX1 KA12 (B)	Agroscope	NA	38.8	silt
Selma	Aurora	from George Jander	"BX1 CE71,72 (A)"	Agroscope	NA	39.5	silt
Selma	Aurora	from George Jander	"BX1 CE71,72 (B)"	Agroscope	NA	37.1	silt
Selma	Aurora	from George Jander	BX2 KA16 (A)	Agroscope	NA	35.7	silt
Selma	Aurora	from George Jander	BX2 KA16 (B)	Agroscope	NA	37.4	silt
Selma	Aurora	from George Jander	"BX2 CE73,74 (A)"	Agroscope	NA	36.6	silt
Selma	Aurora	from George Jander	"BX2 CE73,74 (B)"	Agroscope	NA	37.9	silt
Selma	Aurora	from George Jander	W22 KA13-14 (A)	Agroscope	NA	16	clay
Selma	Aurora	from George Jander	W22 KA13-14 (B)	Agroscope	NA	16.1	clay
Selma	Aurora	from George Jander	W22 CE83-84 (A)	Agroscope	NA	17.4	clay
Selma	Aurora	from George Jander	W22 CE83-84 (B)	Agroscope	NA	20.4	clay
Selma	Aurora	from George Jander	BX1 KA12 (A)	Agroscope	NA	17.4	clay
Selma	Aurora	from George Jander	BX1 KA12 (B)	Agroscope	NA	17.9	clay
Selma	Aurora	from George Jander	"BX1 CE71,72 (A)"	Agroscope	NA	21.2	clay
Selma	Aurora	from George Jander	"BX1 CE71,72 (B)"	Agroscope	NA	21.5	clay
Selma	Aurora	from George Jander	BX2 KA16 (A)	Agroscope	NA	16.9	clay
Selma	Aurora	from George Jander	BX2 KA16 (B)	Agroscope	NA	19	clay
Selma	Aurora	from George Jander	"BX2 CE73,74 (A)"	Agroscope	NA	19.5	clay
Selma	Aurora	from George Jander	"BX2 CE73,74 (B)"	Agroscope	NA	19.2	clay
Selma	Aurora	from George Jander	W22 KA13-14 (A)	Agroscope	NA	6.6	pH
Selma	Aurora	from George Jander	W22 KA13-14 (B)	Agroscope	NA	7.08	pH
Selma	Aurora	from George Jander	W22 CE83-84 (A)	Agroscope	NA	6.55	pH
Selma	Aurora	from George Jander	W22 CE83-84 (B)	Agroscope	NA	6.54	pH
